전기·전자,"AI 슈퍼사이클 끝나가나…증시가 주목한 3가지 경고 신호","반도체를 포함한 국내 증시가 조정받으면서 공급 과잉, 금리와 수요 둔화, 자금조달 위험이 AI 슈퍼사이클의 주요 변수로 부상했다. 삼성전자와 SK하이닉스의 실적 발표가 업종 투자심리에 영향을 줄 전망이다."
전기·전자,"中 CXMT, 상장 첫날 시총 1위…삼성·SK D램 추격 본격화","중국 CXMT가 상장 첫날 공모가 대비 465.82% 상승했고 생산라인 확충과 D램 기술 고도화 계획을 밝혔다. 삼성전자는 범용 D램 생산능력 확대를 추진하고 LG전자는 AI 데이터센터용 600킬로와트급 액체냉각 솔루션의 엔비디아 품질 인증을 받았다."
전기·전자,"네이버, 엔비디아 3대 주주로…22년 만에 1.5조 유상증자","네이버가 엔비디아·브룩필드와 100억 달러 규모 AI 인프라 구축을 추진한다. 2027년 55메가와트 규모 AI 팩토리 가동을 목표로 해 반도체와 데이터센터 냉각 등 전기전자 공급망 수요 확대 여부가 주목된다."
전기·전자,"삼성·하이닉스 HBM 검사망 파고든 韓 장비…HBM4서 확대","국내 반도체 장비 기업들이 삼성전자와 SK하이닉스의 HBM 검사 공정에 진입하고 있다. 차세대 HBM4에서 검사 장비 적용 범위가 확대될 가능성이 있어 국내 장비 공급망의 성장성이 부각됐다."
전기·전자,"내년 메모리 시장 8000억달러 전망…삼성·SK 가격 협상력 커지나","AI 추론 수요 확대로 글로벌 메모리 시장이 내년 약 8000억 달러에 이를 것이란 전망이 나왔다. 범용 D램과 낸드 가격 상승이 예상되면서 삼성전자와 SK하이닉스의 가격 협상력과 실적 개선 가능성이 주목된다."
전기·전자,"범용D램 넘어 HBM까지 노리는 中…韓, AI칩 초격차 속도내야","CXMT가 범용 D램에서 HBM과 서버용 D램으로 사업을 넓히며 중국 반도체 자립 속도를 높이고 있다. 국내 업계는 HBM과 AI 메모리 연구개발을 강화하고 정부 지원을 확대해야 한다는 분석이 제기됐다."
전기·전자,"엔비디아, 7500억달러 규모 AI 베팅…순환금융 우려 재점화","엔비디아를 중심으로 AI 기업에 투자한 자금이 다시 칩 구매 매출로 이어지는 순환 구조가 확대되고 있다. AI 인프라 투자 확대 기대와 함께 수요의 지속 가능성과 자금조달 위험을 점검해야 한다는 지적이 나왔다."
전기·전자,"화면 커질수록 OLED로…초대형 TV 시장 이끄는 LG전자","70인치 이상 TV 비중과 초대형 OLED 출하량이 증가했으며 LG전자는 OLED TV 출하량의 53%를 차지했다. OTT 기반 4K 콘텐츠 확산과 OLED의 명암비 경쟁력이 초대형 TV 수요를 견인하고 있다."
전기·전자,"삼성전자, 대한민국 올해의 녹색상품 16개 선정","삼성전자의 생활가전 14종과 모바일 제품 2종이 녹색상품으로 선정됐다. AI 기반 에너지 절감 기술과 재활용 소재 확대가 평가받아 전기전자 업계에서 고효율·친환경 제품 경쟁이 강화되고 있다."
전기·전자,"브로드컴 질주·CXMT 상장…반도체 지각변동","브로드컴이 맞춤형 AI 반도체 협력으로 성장하고 CXMT가 상장을 통해 대규모 자금을 조달했다. AI 반도체와 메모리 시장에서 공급자 다변화가 진행되며 국내 전기전자 업계의 경쟁 구도 변화가 예상된다."
